mechanism,altitude,LF,FS height,distance,INR20 point estimate,INR20 CI lower,INR20 CI upper,margin point estimate,margin CI lower,margin CI upper,classification
power back-off,340,20,20,0,-5.520650,-5.733462,-5.199222,-0.479350,-0.800778,-0.266538,supported non-compliant
power back-off,340,20,20,10,-6.171454,-6.327916,-5.937636,0.171454,-0.062364,0.327916,borderline
power back-off,340,20,20,20,-6.730800,-6.851281,-6.620364,0.730800,0.620364,0.851281,supported compliant
power back-off,340,20,20,30,-7.221644,-7.315294,-7.097417,1.221644,1.097417,1.315294,supported compliant
power back-off,340,20,20,40,-7.596419,-7.690889,-7.490898,1.596419,1.490898,1.690889,supported compliant
power back-off,340,20,20,50,-7.792229,-7.895764,-7.702324,1.792229,1.702324,1.895764,supported compliant
power back-off,340,20,20,60,-7.961201,-8.071566,-7.846870,1.961201,1.846870,2.071566,supported compliant
power back-off,340,20,20,70,-8.085557,-8.205117,-7.970620,2.085557,1.970620,2.205117,supported compliant
power back-off,340,20,20,80,-8.194326,-8.286101,-8.045723,2.194326,2.045723,2.286101,supported compliant
power back-off,340,20,20,90,-8.254583,-8.339943,-8.097967,2.254583,2.097967,2.339943,supported compliant
power back-off,340,20,20,100,-8.295971,-8.394707,-8.165583,2.295971,2.165583,2.394707,supported compliant
power back-off,340,50,20,0,4.812798,4.445287,5.179534,-10.812798,-11.179534,-10.445287,supported non-compliant
power back-off,340,50,20,10,-0.114411,-0.292592,0.048460,-5.885589,-6.048460,-5.707408,supported non-compliant
power back-off,340,50,20,20,-1.557270,-1.709017,-1.404389,-4.442730,-4.595611,-4.290983,supported non-compliant
power back-off,340,50,20,30,-1.980619,-2.119651,-1.761403,-4.019381,-4.238597,-3.880349,supported non-compliant
power back-off,340,50,20,40,-2.201029,-2.371668,-2.043377,-3.798971,-3.956623,-3.628332,supported non-compliant
power back-off,340,50,20,50,-2.392228,-2.545565,-2.134876,-3.607772,-3.865124,-3.454435,supported non-compliant
power back-off,340,50,20,60,-2.465474,-2.645664,-2.252385,-3.534526,-3.747615,-3.354336,supported non-compliant
power back-off,340,50,20,70,-2.524458,-2.757838,-2.320400,-3.475542,-3.679600,-3.242162,supported non-compliant
power back-off,340,50,20,80,-2.592985,-2.799199,-2.367774,-3.407015,-3.632226,-3.200801,supported non-compliant
power back-off,340,50,20,90,-2.641492,-2.845823,-2.415360,-3.358508,-3.584640,-3.154177,supported non-compliant
power back-off,340,50,20,100,-2.667490,-2.901995,-2.464874,-3.332510,-3.535126,-3.098005,supported non-compliant
power back-off,340,20,40,0,-5.612477,-5.816999,-5.266147,-0.387523,-0.733853,-0.183001,supported non-compliant
power back-off,340,20,40,10,-6.247401,-6.411686,-6.020864,0.247401,0.020864,0.411686,supported compliant
power back-off,340,20,40,20,-6.802990,-6.920077,-6.703057,0.802990,0.703057,0.920077,supported compliant
power back-off,340,20,40,30,-7.283565,-7.392699,-7.151778,1.283565,1.151778,1.392699,supported compliant
power back-off,340,20,40,40,-7.655595,-7.750679,-7.545078,1.655595,1.545078,1.750679,supported compliant
power back-off,340,20,40,50,-7.851933,-7.934680,-7.751715,1.851933,1.751715,1.934680,supported compliant
power back-off,340,20,40,60,-7.999210,-8.117131,-7.897497,1.999210,1.897497,2.117131,supported compliant
power back-off,340,20,40,70,-8.132464,-8.244387,-8.019721,2.132464,2.019721,2.244387,supported compliant
power back-off,340,20,40,80,-8.230304,-8.341405,-8.107582,2.230304,2.107582,2.341405,supported compliant
power back-off,340,20,40,90,-8.276542,-8.395413,-8.143977,2.276542,2.143977,2.395413,supported compliant
power back-off,340,20,40,100,-8.332302,-8.454998,-8.187326,2.332302,2.187326,2.454998,supported compliant
power back-off,340,50,40,0,4.722998,4.373949,5.108893,-10.722998,-11.108893,-10.373949,supported non-compliant
power back-off,340,50,40,10,-0.188333,-0.347355,-0.056899,-5.811667,-5.943101,-5.652645,supported non-compliant
power back-off,340,50,40,20,-1.648347,-1.802196,-1.486236,-4.351653,-4.513764,-4.197804,supported non-compliant
power back-off,340,50,40,30,-2.056302,-2.200112,-1.817525,-3.943698,-4.182475,-3.799888,supported non-compliant
power back-off,340,50,40,40,-2.273652,-2.455222,-2.101445,-3.726348,-3.898555,-3.544778,supported non-compliant
power back-off,340,50,40,50,-2.466937,-2.628419,-2.200706,-3.533063,-3.799294,-3.371581,supported non-compliant
power back-off,340,50,40,60,-2.545039,-2.723592,-2.325580,-3.454961,-3.674420,-3.276408,supported non-compliant
power back-off,340,50,40,70,-2.630184,-2.823260,-2.373383,-3.369816,-3.626617,-3.176740,supported non-compliant
power back-off,340,50,40,80,-2.678349,-2.895765,-2.445483,-3.321651,-3.554517,-3.104235,supported non-compliant
power back-off,340,50,40,90,-2.722458,-2.924361,-2.478557,-3.277542,-3.521443,-3.075639,supported non-compliant
power back-off,340,50,40,100,-2.768614,-2.981404,-2.526871,-3.231386,-3.473129,-3.018596,supported non-compliant
power back-off,525,20,20,0,-8.399056,-9.126892,-7.662977,2.399056,1.662977,3.126892,supported compliant
power back-off,525,20,20,10,-9.429535,-9.789722,-8.896366,3.429535,2.896366,3.789722,supported compliant
power back-off,525,20,20,20,-10.222218,-10.453745,-9.956885,4.222218,3.956885,4.453745,supported compliant
power back-off,525,20,20,30,-10.790987,-10.950999,-10.564240,4.790987,4.564240,4.950999,supported compliant
power back-off,525,20,20,40,-11.245787,-11.417272,-11.097898,5.245787,5.097898,5.417272,supported compliant
power back-off,525,20,20,50,-11.677307,-11.820563,-11.489919,5.677307,5.489919,5.820563,supported compliant
power back-off,525,20,20,60,-11.982137,-12.112276,-11.824044,5.982137,5.824044,6.112276,supported compliant
power back-off,525,20,20,70,-12.191872,-12.323209,-12.052591,6.191872,6.052591,6.323209,supported compliant
power back-off,525,20,20,80,-12.338852,-12.503350,-12.188052,6.338852,6.188052,6.503350,supported compliant
power back-off,525,20,20,90,-12.556965,-12.695666,-12.339245,6.556965,6.339245,6.695666,supported compliant
power back-off,525,20,20,100,-12.693327,-12.885508,-12.494821,6.693327,6.494821,6.885508,supported compliant
power back-off,525,50,20,0,1.640894,1.293820,2.035947,-7.640894,-8.035947,-7.293820,supported non-compliant
power back-off,525,50,20,10,-2.529862,-2.736881,-2.276472,-3.470138,-3.723528,-3.263119,supported non-compliant
