mechanism,altitude,LF,FS height,distance,INR20 point estimate,INR20 CI lower,INR20 CI upper,margin point estimate,margin CI lower,margin CI upper,classification
exclusion zone,340,20,20,0,7.177080,6.902216,7.468242,-13.177080,-13.468242,-12.902216,supported non-compliant
exclusion zone,340,20,20,10,5.992991,5.653633,6.244491,-11.992991,-12.244491,-11.653633,supported non-compliant
exclusion zone,340,20,20,20,3.136157,2.811476,3.434883,-9.136157,-9.434883,-8.811476,supported non-compliant
exclusion zone,340,20,20,30,-1.045453,-1.329611,-0.761246,-4.954547,-5.238754,-4.670389,supported non-compliant
exclusion zone,340,20,20,40,-4.266819,-4.333709,-4.192166,-1.733181,-1.807834,-1.666291,supported non-compliant
exclusion zone,340,20,20,50,-4.738166,-4.783302,-4.697640,-1.261834,-1.302360,-1.216698,supported non-compliant
exclusion zone,340,20,20,60,-5.105786,-5.149291,-5.062941,-0.894214,-0.937059,-0.850709,supported non-compliant
exclusion zone,340,20,20,70,-5.626303,-5.658005,-5.584133,-0.373697,-0.415867,-0.341995,supported non-compliant
exclusion zone,340,20,20,80,-5.911607,-5.953140,-5.883087,-0.088393,-0.116913,-0.046860,supported non-compliant
exclusion zone,340,20,20,90,-6.117296,-6.154215,-6.075526,0.117296,0.075526,0.154215,supported compliant
exclusion zone,340,20,20,100,-6.520737,-6.569338,-6.480229,0.520737,0.480229,0.569338,supported compliant
exclusion zone,340,50,20,0,10.160539,10.119548,10.203578,-16.160539,-16.203578,-16.119548,supported non-compliant
exclusion zone,340,50,20,10,9.685298,9.603724,9.799238,-15.685298,-15.799238,-15.603724,supported non-compliant
exclusion zone,340,50,20,20,6.812203,6.692292,6.923848,-12.812203,-12.923848,-12.692292,supported non-compliant
exclusion zone,340,50,20,30,3.134348,3.039832,3.283041,-9.134348,-9.283041,-9.039832,supported non-compliant
exclusion zone,340,50,20,40,-0.502567,-0.555803,-0.455634,-5.497433,-5.544366,-5.444197,supported non-compliant
exclusion zone,340,50,20,50,-1.025748,-1.055682,-0.993957,-4.974252,-5.006043,-4.944318,supported non-compliant
exclusion zone,340,50,20,60,-1.361352,-1.390115,-1.336927,-4.638648,-4.663073,-4.609885,supported non-compliant
exclusion zone,340,50,20,70,-1.873552,-1.899737,-1.839627,-4.126448,-4.160373,-4.100263,supported non-compliant
exclusion zone,340,50,20,80,-2.152963,-2.168219,-2.128332,-3.847037,-3.871668,-3.831781,supported non-compliant
exclusion zone,340,50,20,90,-2.339470,-2.363746,-2.309235,-3.660530,-3.690765,-3.636254,supported non-compliant
exclusion zone,340,50,20,100,-2.678837,-2.703348,-2.651748,-3.321163,-3.348252,-3.296652,supported non-compliant
exclusion zone,340,20,40,0,7.097524,6.847556,7.384621,-13.097524,-13.384621,-12.847556,supported non-compliant
exclusion zone,340,20,40,10,5.886122,5.550561,6.189150,-11.886122,-12.189150,-11.550561,supported non-compliant
exclusion zone,340,20,40,20,3.067700,2.745038,3.366383,-9.067700,-9.366383,-8.745038,supported non-compliant
exclusion zone,340,20,40,30,-1.135602,-1.437458,-0.828766,-4.864398,-5.171234,-4.562542,supported non-compliant
exclusion zone,340,20,40,40,-4.343606,-4.418433,-4.265730,-1.656394,-1.734270,-1.581567,supported non-compliant
exclusion zone,340,20,40,50,-4.825920,-4.865792,-4.778149,-1.174080,-1.221851,-1.134208,supported non-compliant
exclusion zone,340,20,40,60,-5.196805,-5.241226,-5.158037,-0.803195,-0.841963,-0.758774,supported non-compliant
exclusion zone,340,20,40,70,-5.716639,-5.752768,-5.677416,-0.283361,-0.322584,-0.247232,supported non-compliant
exclusion zone,340,20,40,80,-5.997361,-6.033650,-5.961968,-0.002639,-0.038032,0.033650,borderline
exclusion zone,340,20,40,90,-6.195784,-6.237610,-6.159496,0.195784,0.159496,0.237610,supported compliant
exclusion zone,340,20,40,100,-6.608068,-6.654236,-6.563037,0.608068,0.563037,0.654236,supported compliant
exclusion zone,340,50,40,0,10.063951,10.032129,10.110249,-16.063951,-16.110249,-16.032129,supported non-compliant
exclusion zone,340,50,40,10,9.603564,9.530390,9.692179,-15.603564,-15.692179,-15.530390,supported non-compliant
exclusion zone,340,50,40,20,6.714288,6.588371,6.800352,-12.714288,-12.800352,-12.588371,supported non-compliant
exclusion zone,340,50,40,30,3.038066,2.944806,3.139386,-9.038066,-9.139386,-8.944806,supported non-compliant
exclusion zone,340,50,40,40,-0.585221,-0.634776,-0.541120,-5.414779,-5.458880,-5.365224,supported non-compliant
exclusion zone,340,50,40,50,-1.114194,-1.139094,-1.089760,-4.885806,-4.910240,-4.860906,supported non-compliant
exclusion zone,340,50,40,60,-1.444458,-1.472945,-1.416320,-4.555542,-4.583680,-4.527055,supported non-compliant
exclusion zone,340,50,40,70,-1.958823,-1.983629,-1.924059,-4.041177,-4.075941,-4.016371,supported non-compliant
exclusion zone,340,50,40,80,-2.229850,-2.251203,-2.206103,-3.770150,-3.793897,-3.748797,supported non-compliant
exclusion zone,340,50,40,90,-2.414238,-2.439307,-2.386812,-3.585762,-3.613188,-3.560693,supported non-compliant
exclusion zone,340,50,40,100,-2.755481,-2.780326,-2.728172,-3.244519,-3.271828,-3.219674,supported non-compliant
exclusion zone,525,20,20,0,3.130819,2.794055,3.433773,-9.130819,-9.433773,-8.794055,supported non-compliant
exclusion zone,525,20,20,10,2.587656,2.249535,2.961267,-8.587656,-8.961267,-8.249535,supported non-compliant
exclusion zone,525,20,20,20,1.109246,0.840337,1.420368,-7.109246,-7.420368,-6.840337,supported non-compliant
exclusion zone,525,20,20,30,-0.656055,-0.993248,-0.407201,-5.343945,-5.592799,-5.006752,supported non-compliant
exclusion zone,525,20,20,40,-2.905875,-3.171997,-2.588477,-3.094125,-3.411523,-2.828003,supported non-compliant
exclusion zone,525,20,20,50,-6.720763,-6.996468,-6.367120,0.720763,0.367120,0.996468,supported compliant
exclusion zone,525,20,20,60,-8.479363,-8.540359,-8.392931,2.479363,2.392931,2.540359,supported compliant
exclusion zone,525,20,20,70,-8.902334,-8.965527,-8.845816,2.902334,2.845816,2.965527,supported compliant
exclusion zone,525,20,20,80,-9.104035,-9.159194,-9.048615,3.104035,3.048615,3.159194,supported compliant
exclusion zone,525,20,20,90,-9.453496,-9.506611,-9.405832,3.453496,3.405832,3.506611,supported compliant
exclusion zone,525,20,20,100,-9.881052,-9.930870,-9.833674,3.881052,3.833674,3.930870,supported compliant
