area,system,altitude_km,fs_height_m,load_factor_pct,mechanism,distance_type,distance_km,azimuth_deg,samples,bootstrap_resamples,bootstrap_seed,inr_20_pct_db,inr_20_pct_ci95_low_db,inr_20_pct_ci95_high_db,inr_20_pct_ci95_half_width_db,protection_margin_db,protection_margin_ci95_low_db,protection_margin_ci95_high_db,classification
BR_AR_Paraguay,3,340,20,20,power back-off,M,0,90,4000,10000,20260727,-5.520650,-5.733462,-5.199222,0.267120,-0.479350,-0.800778,-0.266538,supported non-compliant
BR_AR_Paraguay,3,340,20,20,power back-off,M,10,90,4000,10000,20260727,-6.171454,-6.327916,-5.937636,0.195140,0.171454,-0.062364,0.327916,borderline
BR_AR_Paraguay,3,340,20,20,power back-off,M,20,90,4000,10000,20260727,-6.730800,-6.851281,-6.620364,0.115458,0.730800,0.620364,0.851281,supported compliant
BR_AR_Paraguay,3,340,20,20,power back-off,M,30,90,4000,10000,20260727,-7.221644,-7.315294,-7.097417,0.108938,1.221644,1.097417,1.315294,supported compliant
BR_AR_Paraguay,3,340,20,20,power back-off,M,40,90,4000,10000,20260727,-7.596419,-7.690889,-7.490898,0.099996,1.596419,1.490898,1.690889,supported compliant
BR_AR_Paraguay,3,340,20,20,power back-off,M,50,90,4000,10000,20260727,-7.792229,-7.895764,-7.702324,0.096720,1.792229,1.702324,1.895764,supported compliant
BR_AR_Paraguay,3,340,20,20,power back-off,M,60,90,4000,10000,20260727,-7.961201,-8.071566,-7.846870,0.112348,1.961201,1.846870,2.071566,supported compliant
BR_AR_Paraguay,3,340,20,20,power back-off,M,70,90,4000,10000,20260727,-8.085557,-8.205117,-7.970620,0.117248,2.085557,1.970620,2.205117,supported compliant
BR_AR_Paraguay,3,340,20,20,power back-off,M,80,90,4000,10000,20260727,-8.194326,-8.286101,-8.045723,0.120189,2.194326,2.045723,2.286101,supported compliant
BR_AR_Paraguay,3,340,20,20,power back-off,M,90,90,4000,10000,20260727,-8.254583,-8.339943,-8.097967,0.120988,2.254583,2.097967,2.339943,supported compliant
BR_AR_Paraguay,3,340,20,20,power back-off,M,100,90,4000,10000,20260727,-8.295971,-8.394707,-8.165583,0.114562,2.295971,2.165583,2.394707,supported compliant
BR_AR_Paraguay,3,340,20,50,power back-off,M,0,90,4000,10000,20260727,4.812798,4.445287,5.179534,0.367123,-10.812798,-11.179534,-10.445287,supported non-compliant
BR_AR_Paraguay,3,340,20,50,power back-off,M,10,90,4000,10000,20260727,-0.114411,-0.292592,0.048460,0.170526,-5.885589,-6.048460,-5.707408,supported non-compliant
BR_AR_Paraguay,3,340,20,50,power back-off,M,20,90,4000,10000,20260727,-1.557270,-1.709017,-1.404389,0.152314,-4.442730,-4.595611,-4.290983,supported non-compliant
BR_AR_Paraguay,3,340,20,50,power back-off,M,30,90,4000,10000,20260727,-1.980619,-2.119651,-1.761403,0.179124,-4.019381,-4.238597,-3.880349,supported non-compliant
BR_AR_Paraguay,3,340,20,50,power back-off,M,40,90,4000,10000,20260727,-2.201029,-2.371668,-2.043377,0.164145,-3.798971,-3.956623,-3.628332,supported non-compliant
BR_AR_Paraguay,3,340,20,50,power back-off,M,50,90,4000,10000,20260727,-2.392228,-2.545565,-2.134876,0.205345,-3.607772,-3.865124,-3.454435,supported non-compliant
BR_AR_Paraguay,3,340,20,50,power back-off,M,60,90,4000,10000,20260727,-2.465474,-2.645664,-2.252385,0.196639,-3.534526,-3.747615,-3.354336,supported non-compliant
BR_AR_Paraguay,3,340,20,50,power back-off,M,70,90,4000,10000,20260727,-2.524458,-2.757838,-2.320400,0.218719,-3.475542,-3.679600,-3.242162,supported non-compliant
BR_AR_Paraguay,3,340,20,50,power back-off,M,80,90,4000,10000,20260727,-2.592985,-2.799199,-2.367774,0.215713,-3.407015,-3.632226,-3.200801,supported non-compliant
BR_AR_Paraguay,3,340,20,50,power back-off,M,90,90,4000,10000,20260727,-2.641492,-2.845823,-2.415360,0.215231,-3.358508,-3.584640,-3.154177,supported non-compliant
BR_AR_Paraguay,3,340,20,50,power back-off,M,100,90,4000,10000,20260727,-2.667490,-2.901995,-2.464874,0.218560,-3.332510,-3.535126,-3.098005,supported non-compliant
BR_AR_Paraguay,3,340,40,20,power back-off,M,0,90,4000,10000,20260727,-5.612477,-5.816999,-5.266147,0.275426,-0.387523,-0.733853,-0.183001,supported non-compliant
BR_AR_Paraguay,3,340,40,20,power back-off,M,10,90,4000,10000,20260727,-6.247401,-6.411686,-6.020864,0.195411,0.247401,0.020864,0.411686,supported compliant
BR_AR_Paraguay,3,340,40,20,power back-off,M,20,90,4000,10000,20260727,-6.802990,-6.920077,-6.703057,0.108510,0.802990,0.703057,0.920077,supported compliant
BR_AR_Paraguay,3,340,40,20,power back-off,M,30,90,4000,10000,20260727,-7.283565,-7.392699,-7.151778,0.120460,1.283565,1.151778,1.392699,supported compliant
BR_AR_Paraguay,3,340,40,20,power back-off,M,40,90,4000,10000,20260727,-7.655595,-7.750679,-7.545078,0.102801,1.655595,1.545078,1.750679,supported compliant
BR_AR_Paraguay,3,340,40,20,power back-off,M,50,90,4000,10000,20260727,-7.851933,-7.934680,-7.751715,0.091483,1.851933,1.751715,1.934680,supported compliant
BR_AR_Paraguay,3,340,40,20,power back-off,M,60,90,4000,10000,20260727,-7.999210,-8.117131,-7.897497,0.109817,1.999210,1.897497,2.117131,supported compliant
BR_AR_Paraguay,3,340,40,20,power back-off,M,70,90,4000,10000,20260727,-8.132464,-8.244387,-8.019721,0.112333,2.132464,2.019721,2.244387,supported compliant
BR_AR_Paraguay,3,340,40,20,power back-off,M,80,90,4000,10000,20260727,-8.230304,-8.341405,-8.107582,0.116912,2.230304,2.107582,2.341405,supported compliant
BR_AR_Paraguay,3,340,40,20,power back-off,M,90,90,4000,10000,20260727,-8.276542,-8.395413,-8.143977,0.125718,2.276542,2.143977,2.395413,supported compliant
BR_AR_Paraguay,3,340,40,20,power back-off,M,100,90,4000,10000,20260727,-8.332302,-8.454998,-8.187326,0.133836,2.332302,2.187326,2.454998,supported compliant
BR_AR_Paraguay,3,340,40,50,power back-off,M,0,90,4000,10000,20260727,4.722998,4.373949,5.108893,0.367472,-10.722998,-11.108893,-10.373949,supported non-compliant
BR_AR_Paraguay,3,340,40,50,power back-off,M,10,90,4000,10000,20260727,-0.188333,-0.347355,-0.056899,0.145228,-5.811667,-5.943101,-5.652645,supported non-compliant
BR_AR_Paraguay,3,340,40,50,power back-off,M,20,90,4000,10000,20260727,-1.648347,-1.802196,-1.486236,0.157980,-4.351653,-4.513764,-4.197804,supported non-compliant
BR_AR_Paraguay,3,340,40,50,power back-off,M,30,90,4000,10000,20260727,-2.056302,-2.200112,-1.817525,0.191293,-3.943698,-4.182475,-3.799888,supported non-compliant
BR_AR_Paraguay,3,340,40,50,power back-off,M,40,90,4000,10000,20260727,-2.273652,-2.455222,-2.101445,0.176889,-3.726348,-3.898555,-3.544778,supported non-compliant
BR_AR_Paraguay,3,340,40,50,power back-off,M,50,90,4000,10000,20260727,-2.466937,-2.628419,-2.200706,0.213856,-3.533063,-3.799294,-3.371581,supported non-compliant
BR_AR_Paraguay,3,340,40,50,power back-off,M,60,90,4000,10000,20260727,-2.545039,-2.723592,-2.325580,0.199006,-3.454961,-3.674420,-3.276408,supported non-compliant
BR_AR_Paraguay,3,340,40,50,power back-off,M,70,90,4000,10000,20260727,-2.630184,-2.823260,-2.373383,0.224939,-3.369816,-3.626617,-3.176740,supported non-compliant
BR_AR_Paraguay,3,340,40,50,power back-off,M,80,90,4000,10000,20260727,-2.678349,-2.895765,-2.445483,0.225141,-3.321651,-3.554517,-3.104235,supported non-compliant
BR_AR_Paraguay,3,340,40,50,power back-off,M,90,90,4000,10000,20260727,-2.722458,-2.924361,-2.478557,0.222902,-3.277542,-3.521443,-3.075639,supported non-compliant
BR_AR_Paraguay,3,340,40,50,power back-off,M,100,90,4000,10000,20260727,-2.768614,-2.981404,-2.526871,0.227266,-3.231386,-3.473129,-3.018596,supported non-compliant
BR_AR_Paraguay,3,525,20,20,power back-off,M,0,90,4000,10000,20260727,-8.399056,-9.126892,-7.662977,0.731958,2.399056,1.662977,3.126892,supported compliant
BR_AR_Paraguay,3,525,20,20,power back-off,M,10,90,4000,10000,20260727,-9.429535,-9.789722,-8.896366,0.446678,3.429535,2.896366,3.789722,supported compliant
BR_AR_Paraguay,3,525,20,20,power back-off,M,20,90,4000,10000,20260727,-10.222218,-10.453745,-9.956885,0.248430,4.222218,3.956885,4.453745,supported compliant
BR_AR_Paraguay,3,525,20,20,power back-off,M,30,90,4000,10000,20260727,-10.790987,-10.950999,-10.564240,0.193380,4.790987,4.564240,4.950999,supported compliant
