area,system,altitude_km,fs_height_m,load_factor_pct,distance_type,border_margin_km,azimuth_mode,inr_20_pct_db,protection_margin_db,source_count
BR_AR_Paraguay,3,340,20,20,M,0,worst,-5.520650,-0.479350,1
BR_AR_Paraguay,3,340,20,20,M,10,worst,-6.171454,0.171454,1
BR_AR_Paraguay,3,340,20,20,M,20,worst,-6.730800,0.730800,1
BR_AR_Paraguay,3,340,20,20,M,30,worst,-7.221644,1.221644,1
BR_AR_Paraguay,3,340,20,20,M,40,worst,-7.596419,1.596419,1
BR_AR_Paraguay,3,340,20,20,M,50,worst,-7.792229,1.792229,1
BR_AR_Paraguay,3,340,20,20,M,60,worst,-7.961201,1.961201,1
BR_AR_Paraguay,3,340,20,20,M,70,worst,-8.085557,2.085557,1
BR_AR_Paraguay,3,340,20,20,M,80,worst,-8.194326,2.194326,1
BR_AR_Paraguay,3,340,20,20,M,90,worst,-8.254583,2.254583,1
BR_AR_Paraguay,3,340,20,20,M,100,worst,-8.295971,2.295971,1
BR_AR_Paraguay,3,340,20,50,M,0,worst,4.812798,-10.812798,1
BR_AR_Paraguay,3,340,20,50,M,10,worst,-0.114411,-5.885589,1
BR_AR_Paraguay,3,340,20,50,M,20,worst,-1.557270,-4.442730,1
BR_AR_Paraguay,3,340,20,50,M,30,worst,-1.980619,-4.019381,1
BR_AR_Paraguay,3,340,20,50,M,40,worst,-2.201029,-3.798971,1
BR_AR_Paraguay,3,340,20,50,M,50,worst,-2.392228,-3.607772,1
BR_AR_Paraguay,3,340,20,50,M,60,worst,-2.465474,-3.534526,1
BR_AR_Paraguay,3,340,20,50,M,70,worst,-2.524458,-3.475542,1
BR_AR_Paraguay,3,340,20,50,M,80,worst,-2.592985,-3.407015,1
BR_AR_Paraguay,3,340,20,50,M,90,worst,-2.641492,-3.358508,1
BR_AR_Paraguay,3,340,20,50,M,100,worst,-2.667490,-3.332510,1
BR_AR_Paraguay,3,340,40,20,M,0,worst,-5.612477,-0.387523,1
BR_AR_Paraguay,3,340,40,20,M,10,worst,-6.247401,0.247401,1
BR_AR_Paraguay,3,340,40,20,M,20,worst,-6.802990,0.802990,1
BR_AR_Paraguay,3,340,40,20,M,30,worst,-7.283565,1.283565,1
BR_AR_Paraguay,3,340,40,20,M,40,worst,-7.655595,1.655595,1
BR_AR_Paraguay,3,340,40,20,M,50,worst,-7.851933,1.851933,1
BR_AR_Paraguay,3,340,40,20,M,60,worst,-7.999210,1.999210,1
BR_AR_Paraguay,3,340,40,20,M,70,worst,-8.132464,2.132464,1
BR_AR_Paraguay,3,340,40,20,M,80,worst,-8.230304,2.230304,1
BR_AR_Paraguay,3,340,40,20,M,90,worst,-8.276542,2.276542,1
BR_AR_Paraguay,3,340,40,20,M,100,worst,-8.332302,2.332302,1
BR_AR_Paraguay,3,340,40,50,M,0,worst,4.722998,-10.722998,1
BR_AR_Paraguay,3,340,40,50,M,10,worst,-0.188333,-5.811667,1
BR_AR_Paraguay,3,340,40,50,M,20,worst,-1.648347,-4.351653,1
BR_AR_Paraguay,3,340,40,50,M,30,worst,-2.056302,-3.943698,1
BR_AR_Paraguay,3,340,40,50,M,40,worst,-2.273652,-3.726348,1
BR_AR_Paraguay,3,340,40,50,M,50,worst,-2.466937,-3.533063,1
BR_AR_Paraguay,3,340,40,50,M,60,worst,-2.545039,-3.454961,1
BR_AR_Paraguay,3,340,40,50,M,70,worst,-2.630184,-3.369816,1
BR_AR_Paraguay,3,340,40,50,M,80,worst,-2.678349,-3.321651,1
BR_AR_Paraguay,3,340,40,50,M,90,worst,-2.722458,-3.277542,1
BR_AR_Paraguay,3,340,40,50,M,100,worst,-2.768614,-3.231386,1
BR_AR_Paraguay,3,525,20,20,M,0,worst,-8.399056,2.399056,1
BR_AR_Paraguay,3,525,20,20,M,10,worst,-9.429535,3.429535,1
BR_AR_Paraguay,3,525,20,20,M,20,worst,-10.222218,4.222218,1
BR_AR_Paraguay,3,525,20,20,M,30,worst,-10.790987,4.790987,1
BR_AR_Paraguay,3,525,20,20,M,40,worst,-11.245787,5.245787,1
BR_AR_Paraguay,3,525,20,20,M,50,worst,-11.677307,5.677307,1
BR_AR_Paraguay,3,525,20,20,M,60,worst,-11.982137,5.982137,1
BR_AR_Paraguay,3,525,20,20,M,70,worst,-12.191872,6.191872,1
BR_AR_Paraguay,3,525,20,20,M,80,worst,-12.338852,6.338852,1
BR_AR_Paraguay,3,525,20,20,M,90,worst,-12.556965,6.556965,1
BR_AR_Paraguay,3,525,20,20,M,100,worst,-12.693327,6.693327,1
BR_AR_Paraguay,3,525,20,50,M,0,worst,1.640894,-7.640894,1
BR_AR_Paraguay,3,525,20,50,M,10,worst,-2.529862,-3.470138,1
BR_AR_Paraguay,3,525,20,50,M,20,worst,-4.246658,-1.753342,1
BR_AR_Paraguay,3,525,20,50,M,30,worst,-5.319663,-0.680337,1
BR_AR_Paraguay,3,525,20,50,M,40,worst,-5.771911,-0.228089,1
BR_AR_Paraguay,3,525,20,50,M,50,worst,-5.990259,-0.009741,1
BR_AR_Paraguay,3,525,20,50,M,60,worst,-6.164240,0.164240,1
BR_AR_Paraguay,3,525,20,50,M,70,worst,-6.241124,0.241124,1
BR_AR_Paraguay,3,525,20,50,M,80,worst,-6.305736,0.305736,1
BR_AR_Paraguay,3,525,20,50,M,90,worst,-6.386609,0.386609,1
BR_AR_Paraguay,3,525,20,50,M,100,worst,-6.458442,0.458442,1
BR_AR_Paraguay,3,525,40,20,M,0,worst,-8.500154,2.500154,1
BR_AR_Paraguay,3,525,40,20,M,10,worst,-9.495429,3.495429,1
BR_AR_Paraguay,3,525,40,20,M,20,worst,-10.313407,4.313407,1
BR_AR_Paraguay,3,525,40,20,M,30,worst,-10.887714,4.887714,1
BR_AR_Paraguay,3,525,40,20,M,40,worst,-11.337243,5.337243,1
BR_AR_Paraguay,3,525,40,20,M,50,worst,-11.781816,5.781816,1
BR_AR_Paraguay,3,525,40,20,M,60,worst,-12.075601,6.075601,1
BR_AR_Paraguay,3,525,40,20,M,70,worst,-12.285639,6.285639,1
BR_AR_Paraguay,3,525,40,20,M,80,worst,-12.438277,6.438277,1
BR_AR_Paraguay,3,525,40,20,M,90,worst,-12.632721,6.632721,1
BR_AR_Paraguay,3,525,40,20,M,100,worst,-12.759511,6.759511,1
BR_AR_Paraguay,3,525,40,50,M,0,worst,1.573477,-7.573477,1
BR_AR_Paraguay,3,525,40,50,M,10,worst,-2.671978,-3.328022,1
BR_AR_Paraguay,3,525,40,50,M,20,worst,-4.327714,-1.672286,1
BR_AR_Paraguay,3,525,40,50,M,30,worst,-5.410329,-0.589671,1
BR_AR_Paraguay,3,525,40,50,M,40,worst,-5.882031,-0.117969,1
BR_AR_Paraguay,3,525,40,50,M,50,worst,-6.063255,0.063255,1
BR_AR_Paraguay,3,525,40,50,M,60,worst,-6.251982,0.251982,1
BR_AR_Paraguay,3,525,40,50,M,70,worst,-6.325626,0.325626,1
BR_AR_Paraguay,3,525,40,50,M,80,worst,-6.385000,0.385000,1
BR_AR_Paraguay,3,525,40,50,M,90,worst,-6.492526,0.492526,1
BR_AR_Paraguay,3,525,40,50,M,100,worst,-6.569459,0.569459,1
