area,system,altitude_km,fs_height_m,load_factor_pct,distance_type,border_margin_km,azimuth_mode,inr_20_pct_db,protection_margin_db,source_count
SouthAmerica,3,340,20,20,M,10,demo,1.200000,-7.200000,0
SouthAmerica,3,340,20,20,M,20,demo,-0.551545,-5.448455,0
SouthAmerica,3,340,20,20,M,30,demo,-2.115682,-3.884318,0
SouthAmerica,3,340,20,20,M,40,demo,-3.603090,-2.396910,0
SouthAmerica,3,340,20,20,M,50,demo,-5.048455,-0.951545,0
SouthAmerica,3,340,20,20,M,60,demo,-6.467227,0.467227,0
SouthAmerica,3,340,20,20,M,70,demo,-7.867647,1.867647,0
SouthAmerica,3,340,20,20,M,80,demo,-9.254635,3.254635,0
SouthAmerica,3,340,20,20,M,90,demo,-10.631364,4.631364,0
SouthAmerica,3,340,20,20,M,100,demo,-12.000000,6.000000,0
SouthAmerica,3,340,20,50,M,10,demo,5.200000,-11.200000,0
SouthAmerica,3,340,20,50,M,20,demo,3.448455,-9.448455,0
SouthAmerica,3,340,20,50,M,30,demo,1.884318,-7.884318,0
SouthAmerica,3,340,20,50,M,40,demo,0.396910,-6.396910,0
SouthAmerica,3,340,20,50,M,50,demo,-1.048455,-4.951545,0
SouthAmerica,3,340,20,50,M,60,demo,-2.467227,-3.532773,0
SouthAmerica,3,340,20,50,M,70,demo,-3.867647,-2.132353,0
SouthAmerica,3,340,20,50,M,80,demo,-5.254635,-0.745365,0
SouthAmerica,3,340,20,50,M,90,demo,-6.631364,0.631364,0
SouthAmerica,3,340,20,50,M,100,demo,-8.000000,2.000000,0
SouthAmerica,3,340,40,20,M,10,demo,0.700000,-6.700000,0
SouthAmerica,3,340,40,20,M,20,demo,-1.051545,-4.948455,0
SouthAmerica,3,340,40,20,M,30,demo,-2.615682,-3.384318,0
SouthAmerica,3,340,40,20,M,40,demo,-4.103090,-1.896910,0
SouthAmerica,3,340,40,20,M,50,demo,-5.548455,-0.451545,0
SouthAmerica,3,340,40,20,M,60,demo,-6.967227,0.967227,0
SouthAmerica,3,340,40,20,M,70,demo,-8.367647,2.367647,0
SouthAmerica,3,340,40,20,M,80,demo,-9.754635,3.754635,0
SouthAmerica,3,340,40,20,M,90,demo,-11.131364,5.131364,0
SouthAmerica,3,340,40,20,M,100,demo,-12.500000,6.500000,0
SouthAmerica,3,340,40,50,M,10,demo,4.700000,-10.700000,0
SouthAmerica,3,340,40,50,M,20,demo,2.948455,-8.948455,0
SouthAmerica,3,340,40,50,M,30,demo,1.384318,-7.384318,0
SouthAmerica,3,340,40,50,M,40,demo,-0.103090,-5.896910,0
SouthAmerica,3,340,40,50,M,50,demo,-1.548455,-4.451545,0
SouthAmerica,3,340,40,50,M,60,demo,-2.967227,-3.032773,0
SouthAmerica,3,340,40,50,M,70,demo,-4.367647,-1.632353,0
SouthAmerica,3,340,40,50,M,80,demo,-5.754635,-0.245365,0
SouthAmerica,3,340,40,50,M,90,demo,-7.131364,1.131364,0
SouthAmerica,3,340,40,50,M,100,demo,-8.500000,2.500000,0
SouthAmerica,3,525,20,20,M,10,demo,-2.000000,-4.000000,0
SouthAmerica,3,525,20,20,M,20,demo,-3.751545,-2.248455,0
SouthAmerica,3,525,20,20,M,30,demo,-5.315682,-0.684318,0
SouthAmerica,3,525,20,20,M,40,demo,-6.803090,0.803090,0
SouthAmerica,3,525,20,20,M,50,demo,-8.248455,2.248455,0
