area,system,altitude_km,fs_height_m,load_factor_pct,distance_type,border_margin_km,azimuth_mode,inr_20_pct_db,protection_margin_db,source_count
SouthAmerica,3,340,20,20,EZ,0,worst,7.177080,-13.177080,1
SouthAmerica,3,340,20,20,EZ,10,worst,5.992991,-11.992991,1
SouthAmerica,3,340,20,20,EZ,20,worst,3.136157,-9.136157,1
SouthAmerica,3,340,20,20,EZ,30,worst,-1.045453,-4.954547,1
SouthAmerica,3,340,20,20,EZ,40,worst,-4.266819,-1.733181,1
SouthAmerica,3,340,20,20,EZ,50,worst,-4.738166,-1.261834,1
SouthAmerica,3,340,20,20,EZ,60,worst,-5.105786,-0.894214,1
SouthAmerica,3,340,20,20,EZ,70,worst,-5.626303,-0.373697,1
SouthAmerica,3,340,20,20,EZ,80,worst,-5.911607,-0.088393,1
SouthAmerica,3,340,20,20,EZ,90,worst,-6.117296,0.117296,1
SouthAmerica,3,340,20,20,EZ,100,worst,-6.520737,0.520737,1
SouthAmerica,3,340,20,50,EZ,0,worst,10.160539,-16.160539,1
SouthAmerica,3,340,20,50,EZ,10,worst,9.685298,-15.685298,1
SouthAmerica,3,340,20,50,EZ,20,worst,6.812203,-12.812203,1
SouthAmerica,3,340,20,50,EZ,30,worst,3.134348,-9.134348,1
SouthAmerica,3,340,20,50,EZ,40,worst,-0.502567,-5.497433,1
SouthAmerica,3,340,20,50,EZ,50,worst,-1.025748,-4.974252,1
SouthAmerica,3,340,20,50,EZ,60,worst,-1.361352,-4.638648,1
SouthAmerica,3,340,20,50,EZ,70,worst,-1.873552,-4.126448,1
SouthAmerica,3,340,20,50,EZ,80,worst,-2.152963,-3.847037,1
SouthAmerica,3,340,20,50,EZ,90,worst,-2.339470,-3.660530,1
SouthAmerica,3,340,20,50,EZ,100,worst,-2.678837,-3.321163,1
SouthAmerica,3,340,40,20,EZ,0,worst,7.097524,-13.097524,1
SouthAmerica,3,340,40,20,EZ,10,worst,5.886122,-11.886122,1
SouthAmerica,3,340,40,20,EZ,20,worst,3.067700,-9.067700,1
SouthAmerica,3,340,40,20,EZ,30,worst,-1.135602,-4.864398,1
SouthAmerica,3,340,40,20,EZ,40,worst,-4.343606,-1.656394,1
SouthAmerica,3,340,40,20,EZ,50,worst,-4.825920,-1.174080,1
SouthAmerica,3,340,40,20,EZ,60,worst,-5.196805,-0.803195,1
SouthAmerica,3,340,40,20,EZ,70,worst,-5.716639,-0.283361,1
SouthAmerica,3,340,40,20,EZ,80,worst,-5.997361,-0.002639,1
SouthAmerica,3,340,40,20,EZ,90,worst,-6.195784,0.195784,1
SouthAmerica,3,340,40,20,EZ,100,worst,-6.608068,0.608068,1
SouthAmerica,3,340,40,50,EZ,0,worst,10.063951,-16.063951,1
SouthAmerica,3,340,40,50,EZ,10,worst,9.603564,-15.603564,1
SouthAmerica,3,340,40,50,EZ,20,worst,6.714288,-12.714288,1
SouthAmerica,3,340,40,50,EZ,30,worst,3.038066,-9.038066,1
SouthAmerica,3,340,40,50,EZ,40,worst,-0.585221,-5.414779,1
SouthAmerica,3,340,40,50,EZ,50,worst,-1.114194,-4.885806,1
SouthAmerica,3,340,40,50,EZ,60,worst,-1.444458,-4.555542,1
SouthAmerica,3,340,40,50,EZ,70,worst,-1.958823,-4.041177,1
SouthAmerica,3,340,40,50,EZ,80,worst,-2.229850,-3.770150,1
SouthAmerica,3,340,40,50,EZ,90,worst,-2.414238,-3.585762,1
SouthAmerica,3,340,40,50,EZ,100,worst,-2.755481,-3.244519,1
SouthAmerica,3,525,20,20,EZ,0,worst,3.130819,-9.130819,1
SouthAmerica,3,525,20,20,EZ,10,worst,2.587656,-8.587656,1
SouthAmerica,3,525,20,20,EZ,20,worst,1.109246,-7.109246,1
SouthAmerica,3,525,20,20,EZ,30,worst,-0.656055,-5.343945,1
SouthAmerica,3,525,20,20,EZ,40,worst,-2.905875,-3.094125,1
SouthAmerica,3,525,20,20,EZ,50,worst,-6.720763,0.720763,1
SouthAmerica,3,525,20,20,EZ,60,worst,-8.479363,2.479363,1
SouthAmerica,3,525,20,20,EZ,70,worst,-8.902334,2.902334,1
SouthAmerica,3,525,20,20,EZ,80,worst,-9.104035,3.104035,1
SouthAmerica,3,525,20,20,EZ,90,worst,-9.453496,3.453496,1
SouthAmerica,3,525,20,20,EZ,100,worst,-9.881052,3.881052,1
SouthAmerica,3,525,20,50,EZ,0,worst,6.356792,-12.356792,1
SouthAmerica,3,525,20,50,EZ,10,worst,6.191631,-12.191631,1
SouthAmerica,3,525,20,50,EZ,20,worst,5.329281,-11.329281,1
SouthAmerica,3,525,20,50,EZ,30,worst,2.971893,-8.971893,1
SouthAmerica,3,525,20,50,EZ,40,worst,0.740603,-6.740603,1
SouthAmerica,3,525,20,50,EZ,50,worst,-2.227403,-3.772597,1
SouthAmerica,3,525,20,50,EZ,60,worst,-4.732184,-1.267816,1
SouthAmerica,3,525,20,50,EZ,70,worst,-5.205350,-0.794650,1
SouthAmerica,3,525,20,50,EZ,80,worst,-5.384421,-0.615579,1
SouthAmerica,3,525,20,50,EZ,90,worst,-5.742164,-0.257836,1
SouthAmerica,3,525,20,50,EZ,100,worst,-6.144842,0.144842,1
SouthAmerica,3,525,40,20,EZ,0,worst,3.037913,-9.037913,1
SouthAmerica,3,525,40,20,EZ,10,worst,2.509827,-8.509827,1
SouthAmerica,3,525,40,20,EZ,20,worst,1.028887,-7.028887,1
SouthAmerica,3,525,40,20,EZ,30,worst,-0.785194,-5.214806,1
SouthAmerica,3,525,40,20,EZ,40,worst,-3.014226,-2.985774,1
SouthAmerica,3,525,40,20,EZ,50,worst,-6.798576,0.798576,1
SouthAmerica,3,525,40,20,EZ,60,worst,-8.575137,2.575137,1
SouthAmerica,3,525,40,20,EZ,70,worst,-8.994441,2.994441,1
SouthAmerica,3,525,40,20,EZ,80,worst,-9.197206,3.197206,1
SouthAmerica,3,525,40,20,EZ,90,worst,-9.552748,3.552748,1
SouthAmerica,3,525,40,20,EZ,100,worst,-9.982667,3.982667,1
SouthAmerica,3,525,40,50,EZ,0,worst,6.277771,-12.277771,1
SouthAmerica,3,525,40,50,EZ,10,worst,6.099738,-12.099738,1
SouthAmerica,3,525,40,50,EZ,20,worst,5.237032,-11.237032,1
SouthAmerica,3,525,40,50,EZ,30,worst,2.891160,-8.891160,1
SouthAmerica,3,525,40,50,EZ,40,worst,0.654771,-6.654771,1
SouthAmerica,3,525,40,50,EZ,50,worst,-2.310465,-3.689535,1
SouthAmerica,3,525,40,50,EZ,60,worst,-4.822329,-1.177671,1
SouthAmerica,3,525,40,50,EZ,70,worst,-5.315145,-0.684855,1
SouthAmerica,3,525,40,50,EZ,80,worst,-5.487484,-0.512516,1
SouthAmerica,3,525,40,50,EZ,90,worst,-5.841247,-0.158753,1
SouthAmerica,3,525,40,50,EZ,100,worst,-6.238457,0.238457,1
