yaml_path,load_factor,pbo_db,requested_fraction,configured_snapshots,nominal_tx_power_dbm,attenuation_factor,sinr_min_db,sinr_max_db,pbo_mode,scenario_id,output_path,metrics_csv_path,actual_snapshots,user_records,unique_ue_ids,metrics_csv_bytes,modified_ns,selected
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO0dB_F00pct_2026-07-28_01\dc_mss_isolado_Sys3_340km_LF20_PBO0dB_F00pct.yaml,0.2,0.0,0.0,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF20_PBO00_F00,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO0dB_F00pct_2026-07-28_01,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO0dB_F00pct_2026-07-28_01\imt_dl_selected_ue_metrics.csv,10,2727,1283,258132,1785212556380319000,False
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO0dB_F00pct_2026-07-28_02\dc_mss_isolado_Sys3_340km_LF20_PBO0dB_F00pct.yaml,0.2,0.0,0.0,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF20_PBO00_F00,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO0dB_F00pct_2026-07-28_02,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO0dB_F00pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv,1000,275169,1567,26523880,1785219351576316900,True
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO5dB_F05pct_2026-07-28_01\dc_mss_isolado_Sys3_340km_LF20_PBO5dB_F05pct.yaml,0.2,5.0,0.05,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF20_PBO05_F05,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO5dB_F05pct_2026-07-28_01,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO5dB_F05pct_2026-07-28_01\imt_dl_selected_ue_metrics.csv,10,2727,1283,305636,1785212561444729300,False
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO5dB_F05pct_2026-07-28_02\dc_mss_isolado_Sys3_340km_LF20_PBO5dB_F05pct.yaml,0.2,5.0,0.05,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF20_PBO05_F05,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO5dB_F05pct_2026-07-28_02,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO5dB_F05pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv,1000,275169,1567,30986053,1785219310171211900,True
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO5dB_F10pct_2026-07-28_01\dc_mss_isolado_Sys3_340km_LF20_PBO5dB_F10pct.yaml,0.2,5.0,0.1,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF20_PBO05_F10,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO5dB_F10pct_2026-07-28_01,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO5dB_F10pct_2026-07-28_01\imt_dl_selected_ue_metrics.csv,10,2727,1283,301818,1785212564468060400,False
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO5dB_F10pct_2026-07-28_02\dc_mss_isolado_Sys3_340km_LF20_PBO5dB_F10pct.yaml,0.2,5.0,0.1,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF20_PBO05_F10,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO5dB_F10pct_2026-07-28_02,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO5dB_F10pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv,1000,275169,1567,30392316,1785219326311112400,True
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO5dB_F15pct_2026-07-28_01\dc_mss_isolado_Sys3_340km_LF20_PBO5dB_F15pct.yaml,0.2,5.0,0.15,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF20_PBO05_F15,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO5dB_F15pct_2026-07-28_01,,0,0,0,0,1785212587134362200,False
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO5dB_F15pct_2026-07-28_02\dc_mss_isolado_Sys3_340km_LF20_PBO5dB_F15pct.yaml,0.2,5.0,0.15,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF20_PBO05_F15,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO5dB_F15pct_2026-07-28_02,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO5dB_F15pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv,1000,275169,1567,30829340,1785225595074251100,True
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO10dB_F05pct_2026-07-28_01\dc_mss_isolado_Sys3_340km_LF20_PBO10dB_F05pct.yaml,0.2,10.0,0.05,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF20_PBO10_F05,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO10dB_F05pct_2026-07-28_01,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO10dB_F05pct_2026-07-28_01\imt_dl_selected_ue_metrics.csv,10,2727,1283,305898,1785212562597073300,False
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO10dB_F05pct_2026-07-28_02\dc_mss_isolado_Sys3_340km_LF20_PBO10dB_F05pct.yaml,0.2,10.0,0.05,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF20_PBO10_F05,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO10dB_F05pct_2026-07-28_02,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO10dB_F05pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv,1000,275169,1567,31015513,1785219323331493500,True
