scenario_id,load_factor,pbo_db,affected_fraction,metric,group,total_records,valid_records,omitted_records,mean,median,p5,p95
LF20_PBO00_F00,0.2,0.0,0.05,inr_unaffected_db,unaffected,261385,261385,0,-6.566349518589895,-7.178954685167936,-9.12253412839171,-2.6520258939813273
LF20_PBO10_F05,0.2,10.0,0.05,inr_unaffected_db,unaffected,261385,261385,0,-6.766011472046735,-7.3787283187715005,-9.346947487031521,-2.7901535609841774
LF20_PBO20_F05,0.2,20.0,0.05,inr_unaffected_db,unaffected,261385,261385,0,-6.7893426127454415,-7.4003488831225726,-9.371761035208864,-2.812386670445536
LF50_PBO00_F00,0.5,0.0,0.05,inr_unaffected_db,unaffected,654612,654612,0,-2.330441014824606,-2.7453535395019624,-4.836796114162688,0.9031751075906675
LF50_PBO10_F05,0.5,10.0,0.05,inr_unaffected_db,unaffected,654612,654612,0,-2.5420985573366877,-2.967294058373062,-5.037821097894408,0.7156745658545599
LF50_PBO20_F05,0.5,20.0,0.05,inr_unaffected_db,unaffected,654612,654612,0,-2.566516895277418,-2.992374675864519,-5.059869091236276,0.6903922475563705
LF20_PBO00_F00,0.2,0.0,0.1,inr_unaffected_db,unaffected,247605,247605,0,-6.567948780082387,-7.178931400728409,-9.123053742068224,-2.657249270831948
LF20_PBO10_F10,0.2,10.0,0.1,inr_unaffected_db,unaffected,247605,247605,0,-6.991841237821549,-7.610483754659145,-9.579114439529041,-2.965412998303113
LF20_PBO20_F10,0.2,20.0,0.1,inr_unaffected_db,unaffected,247605,247605,0,-7.042403009292974,-7.66565125077897,-9.630064825822293,-3.00381338931927
LF50_PBO00_F00,0.5,0.0,0.1,inr_unaffected_db,unaffected,620140,620140,0,-2.330476674776454,-2.746343928762344,-4.836753649930521,0.9039063621587103
LF50_PBO10_F10,0.5,10.0,0.1,inr_unaffected_db,unaffected,620140,620140,0,-2.7696888502458483,-3.201091059769867,-5.257832797484863,0.5181304243925998
LF50_PBO20_F10,0.5,20.0,0.1,inr_unaffected_db,unaffected,620140,620140,0,-2.8226026096296217,-3.252330901194619,-5.305291006465829,0.46166541916360554
LF20_PBO00_F00,0.2,0.0,0.15,inr_unaffected_db,unaffected,233871,233871,0,-6.56877162384243,-7.178789947908139,-9.122686127184963,-2.655608861209591
LF20_PBO10_F15,0.2,10.0,0.15,inr_unaffected_db,unaffected,233871,233871,0,-7.222000189487838,-7.848975156990333,-9.805517666939572,-3.1349441771460707
LF20_PBO20_F15,0.2,20.0,0.15,inr_unaffected_db,unaffected,233871,233871,0,-7.302881440807359,-7.934558577223506,-9.896567811170781,-3.194877121562937
LF50_PBO00_F00,0.5,0.0,0.15,inr_unaffected_db,unaffected,585705,585705,0,-2.330634512459005,-2.7470197483377046,-4.837619709116573,0.9050193404980525
LF50_PBO10_F15,0.5,10.0,0.15,inr_unaffected_db,unaffected,585705,585705,0,-2.994322123805464,-3.4347968118843926,-5.476339988470997,0.33849577918231266
LF50_PBO20_F15,0.5,20.0,0.15,inr_unaffected_db,unaffected,585705,585705,0,-3.076842792874501,-3.516110410076853,-5.549665934634554,0.24610871253819416
LF20_PBO00_F00,0.2,0.0,0.05,path_loss_db,all,275169,275169,0,159.02440506154178,159.92458121803764,152.5713452280321,163.17531787646286
LF20_PBO10_F05,0.2,10.0,0.05,path_loss_db,all,275169,275169,0,159.02440506154178,159.92458121803764,152.5713452280321,163.17531787646286
LF20_PBO20_F05,0.2,20.0,0.05,path_loss_db,all,275169,275169,0,159.02440506154178,159.92458121803764,152.5713452280321,163.17531787646286
LF50_PBO00_F00,0.5,0.0,0.05,path_loss_db,all,689089,689089,0,159.0254242598552,159.92284524580472,152.5969536943967,163.1740515978032
LF50_PBO10_F05,0.5,10.0,0.05,path_loss_db,all,689089,689089,0,159.0254242598552,159.92284524580472,152.5969536943967,163.1740515978032
LF50_PBO20_F05,0.5,20.0,0.05,path_loss_db,all,689089,689089,0,159.0254242598552,159.92284524580472,152.5969536943967,163.1740515978032
LF20_PBO00_F00,0.2,0.0,0.1,path_loss_db,all,275169,275169,0,159.02440506154178,159.92458121803764,152.5713452280321,163.17531787646286
LF20_PBO10_F10,0.2,10.0,0.1,path_loss_db,all,275169,275169,0,159.02440506154178,159.92458121803764,152.5713452280321,163.17531787646286
LF20_PBO20_F10,0.2,20.0,0.1,path_loss_db,all,275169,275169,0,159.02440506154178,159.92458121803764,152.5713452280321,163.17531787646286
LF50_PBO00_F00,0.5,0.0,0.1,path_loss_db,all,689089,689089,0,159.0254242598552,159.92284524580472,152.5969536943967,163.1740515978032
LF50_PBO10_F10,0.5,10.0,0.1,path_loss_db,all,689089,689089,0,159.0254242598552,159.92284524580472,152.5969536943967,163.1740515978032
LF50_PBO20_F10,0.5,20.0,0.1,path_loss_db,all,689089,689089,0,159.0254242598552,159.92284524580472,152.5969536943967,163.1740515978032
LF20_PBO00_F00,0.2,0.0,0.15,path_loss_db,all,275169,275169,0,159.02440506154178,159.92458121803764,152.5713452280321,163.17531787646286
LF20_PBO10_F15,0.2,10.0,0.15,path_loss_db,all,275169,275169,0,159.02440506154178,159.92458121803764,152.5713452280321,163.17531787646286
LF20_PBO20_F15,0.2,20.0,0.15,path_loss_db,all,275169,275169,0,159.02440506154178,159.92458121803764,152.5713452280321,163.17531787646286
LF50_PBO00_F00,0.5,0.0,0.15,path_loss_db,all,689089,689089,0,159.0254242598552,159.92284524580472,152.5969536943967,163.1740515978032
LF50_PBO10_F15,0.5,10.0,0.15,path_loss_db,all,689089,689089,0,159.0254242598552,159.92284524580472,152.5969536943967,163.1740515978032
LF50_PBO20_F15,0.5,20.0,0.15,path_loss_db,all,689089,689089,0,159.0254242598552,159.92284524580472,152.5969536943967,163.1740515978032
LF20_PBO00_F00,0.2,0.0,0.1,sinr_all_db,all,275169,275169,0,8.331133883991075,7.478400725281077,4.1993071969677205,14.818131360352492
LF20_PBO10_F10,0.2,10.0,0.1,sinr_all_db,all,275169,275169,0,7.4058244555817145,7.034531235495351,-2.6367575809378727,14.72603725056612
LF20_PBO20_F10,0.2,20.0,0.1,sinr_all_db,all,275169,275169,0,6.4130935190000935,7.039495827051098,-12.453200611868434,14.735028537327931
LF50_PBO00_F00,0.5,0.0,0.1,sinr_all_db,all,689089,689089,0,7.167685819941849,6.382355060345745,2.8795090695159304,13.689296634308814
LF50_PBO10_F10,0.5,10.0,0.1,sinr_all_db,all,689089,689089,0,6.326784714521827,6.015104390565895,-3.807343863010712,13.666505302824586
LF50_PBO20_F10,0.5,20.0,0.1,sinr_all_db,all,689089,689089,0,5.3453698512268515,6.029995957480239,-13.44743162018047,13.683545447760423
LF20_PBO00_F00,0.2,0.0,0.05,snr_affected_db,affected,13784,13784,0,9.351722505799673,8.488852515840861,5.15730508700795,15.75177550090429
LF20_PBO10_F05,0.2,10.0,0.05,snr_affected_db,affected,13784,13784,0,-0.6482774942003288,-1.5111474841591388,-4.84269491299205,5.75177550090429
LF20_PBO20_F05,0.2,20.0,0.05,snr_affected_db,affected,13784,13784,0,-10.648277494200327,-11.511147484159139,-14.842694912992048,-4.248224499095711
LF50_PBO00_F00,0.5,0.0,0.05,snr_affected_db,affected,34477,34477,0,9.305030137488416,8.392164216258735,5.170437161936022,15.749999316612454
LF50_PBO10_F05,0.5,10.0,0.05,snr_affected_db,affected,34477,34477,0,-0.6949698625115838,-1.6078357837412651,-4.829562838063978,5.749999316612455
LF50_PBO20_F05,0.5,20.0,0.05,snr_affected_db,affected,34477,34477,0,-10.694969862511586,-11.607835783741264,-14.82956283806398,-4.250000683387546
LF20_PBO00_F00,0.2,0.0,0.1,snr_affected_db,affected,27564,27564,0,9.320165202884025,8.415930078195586,5.165099313573928,15.71968902003949
LF20_PBO10_F10,0.2,10.0,0.1,snr_affected_db,affected,27564,27564,0,-0.6798347971159756,-1.5840699218044136,-4.834900686426072,5.7196890200394925
LF20_PBO20_F10,0.2,20.0,0.1,snr_affected_db,affected,27564,27564,0,-10.679834797115976,-11.584069921804414,-14.83490068642607,-4.280310979960508
LF50_PBO00_F00,0.5,0.0,0.1,snr_affected_db,affected,68949,68949,0,9.323370207036614,8.42175898269359,5.170984751451667,15.758338479687605
LF50_PBO10_F10,0.5,10.0,0.1,snr_affected_db,affected,68949,68949,0,-0.6766297929633847,-1.5782410173064108,-4.829015248548333,5.7583384796876045
LF50_PBO20_F10,0.5,20.0,0.1,snr_affected_db,affected,68949,68949,0,-10.676629792963384,-11.57824101730641,-14.829015248548334,-4.2416615203123955
