scenario_id,load_factor,pbo_db,affected_fraction,group,metric,estimate,ci95_lower,ci95_upper,repetitions,seed,analysis_type
LF20_PBO05_F05,0.2,5.0,0.05,affected,outage_probability,0.0010882182240278583,0.0005790335586519461,0.0017376257525018384,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F05,0.2,5.0,0.05,affected,sinr_mean_db,-4.973277801747212,-4.977142922187322,-4.967765352416632,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F05,0.2,5.0,0.05,affected,sinr_p5_db,-4.9723344919601695,-4.981378967795675,-4.953691611023352,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F05,0.2,5.0,0.05,affected,spectral_efficiency_mean_bpshz,-1.0080842825955987,-1.0111348955518997,-1.0048033563195113,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F05,0.2,5.0,0.05,affected,spectral_efficiency_p5_bpshz,-0.7857971280243221,-0.7887069161409733,-0.7811278993213657,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F05,0.2,5.0,0.05,all,outage_probability,3.270717268296939e-05,-7.256277301348832e-06,6.916061041235163e-05,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F05,0.2,5.0,0.05,all,sinr_mean_db,-0.22283351975266363,-0.22603306424012226,-0.21862438684141822,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F05,0.2,5.0,0.05,all,sinr_p5_db,-0.40283493092489664,-0.4475689998195215,-0.36594957736422223,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F05,0.2,5.0,0.05,all,spectral_efficiency_mean_bpshz,-0.044695552704124175,-0.04530199670233017,-0.043928154243015986,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F05,0.2,5.0,0.05,all,spectral_efficiency_p5_bpshz,-0.07655749129411626,-0.08479148241597306,-0.06968021926400299,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F05,0.2,5.0,0.05,unaffected,outage_probability,-2.295464544637221e-05,-5.359406604066077e-05,-3.8158716065927315e-06,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F05,0.2,5.0,0.05,unaffected,sinr_mean_db,0.0276786518830896,0.0245124673596687,0.031903811536234894,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F05,0.2,5.0,0.05,unaffected,sinr_p5_db,0.029955871693196023,0.025429597244470893,0.03405117820176,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F05,0.2,5.0,0.05,unaffected,spectral_efficiency_mean_bpshz,0.006108243431171001,0.0054970011393355445,0.006876896684478461,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F05,0.2,5.0,0.05,unaffected,spectral_efficiency_p5_bpshz,0.005773293065434837,0.004906406138241642,0.006560752984312401,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F05,0.2,10.0,0.05,affected,outage_probability,0.003482298316889147,0.002253844748845906,0.00485304162167408,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F05,0.2,10.0,0.05,affected,sinr_mean_db,-9.96357035055059,-9.96971404374262,-9.954413600167767,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F05,0.2,10.0,0.05,affected,sinr_p5_db,-9.966039976815212,-9.975281594596112,-9.945850108029067,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F05,0.2,10.0,0.05,affected,spectral_efficiency_mean_bpshz,-1.7251262567010759,-1.7323668647065136,-1.7174093161252826,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F05,0.2,10.0,0.05,affected,spectral_efficiency_p5_bpshz,-1.2160302848799005,-1.2210717349166784,-1.2090110626058663,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F05,0.2,10.0,0.05,all,outage_probability,0.00015263347252052374,8.355606647921108e-05,0.00022531110431177697,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F05,0.2,10.0,0.05,all,sinr_mean_db,-0.46368843909248625,-0.46853013634377755,-0.4570499209205539,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F05,0.2,10.0,0.05,all,sinr_p5_db,-1.2986441039901648,-1.5242838124389104,-1.1203774644178366,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F05,0.2,10.0,0.05,all,spectral_efficiency_mean_bpshz,-0.0786005867754005,-0.07955728083456684,-0.07737908380685186,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F05,0.2,10.0,0.05,all,spectral_efficiency_p5_bpshz,-0.23929979999238316,-0.27815170316912236,-0.2080178850063932,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F05,0.2,10.0,0.05,unaffected,outage_probability,-2.295464544637221e-05,-5.359406604066077e-05,-3.8158716065927315e-06,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F05,0.2,10.0,0.05,unaffected,sinr_mean_db,0.037282818889179836,0.03246701773683447,0.04380269628664312,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F05,0.2,10.0,0.05,unaffected,sinr_p5_db,0.03948866522343053,0.0337562245499361,0.045896059037737726,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F05,0.2,10.0,0.05,unaffected,spectral_efficiency_mean_bpshz,0.008228075291111914,0.007300660166497985,0.009449178284644399,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F05,0.2,10.0,0.05,unaffected,spectral_efficiency_p5_bpshz,0.007612809163705325,0.006512723863590736,0.008834215929114608,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F05,0.2,15.0,0.05,affected,outage_probability,0.18448926291352294,0.17721688943879996,0.1928602319304637,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F05,0.2,15.0,0.05,affected,sinr_mean_db,-14.959945783524212,-14.967361127021004,-14.948610727054078,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F05,0.2,15.0,0.05,affected,sinr_p5_db,-14.963847850072094,-14.973380810785057,-14.942609728826755,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F05,0.2,15.0,0.05,affected,spectral_efficiency_mean_bpshz,-2.1494369650408705,-2.159931444239692,-2.1382285769799334,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F05,0.2,15.0,0.05,affected,spectral_efficiency_p5_bpshz,-1.4871646741372433,-1.4941597549361183,-1.4776173662342629,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F05,0.2,15.0,0.05,all,outage_probability,0.009219788566299255,0.008855454602330608,0.009640249225221949,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F05,0.2,15.0,0.05,all,sinr_mean_db,-0.7107616907460903,-0.7165262955172276,-0.7028802297753282,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F05,0.2,15.0,0.05,all,sinr_p5_db,-4.8136745497969615,-5.187530855852217,-4.43068044892603,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F05,0.2,15.0,0.05,all,spectral_efficiency_mean_bpshz,-0.09914128178956538,-0.10026596679583596,-0.09762170727873164,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F05,0.2,15.0,0.05,all,spectral_efficiency_p5_bpshz,-0.7666780985313643,-0.8104551811188283,-0.7186673085106962,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F05,0.2,15.0,0.05,unaffected,outage_probability,-2.295464544637221e-05,-5.359406604066077e-05,-3.8158716065927315e-06,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F05,0.2,15.0,0.05,unaffected,sinr_mean_db,0.040661510795130695,0.03504060273851617,0.04838348074616849,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F05,0.2,15.0,0.05,unaffected,sinr_p5_db,0.042623869398826564,0.036366067596361476,0.0497817942396647,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F05,0.2,15.0,0.05,unaffected,spectral_efficiency_mean_bpshz,0.008979978795150334,0.007882201328365479,0.010440011378728785,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F05,0.2,15.0,0.05,unaffected,spectral_efficiency_p5_bpshz,0.008218042211045384,0.007009171534283714,0.009598204000610054,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,affected,outage_probability,0.6711404526987812,0.6628339216946165,0.6795933892309496,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,affected,sinr_mean_db,-19.958633187894975,-19.96661552093866,-19.946460555372724,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,affected,sinr_p5_db,-19.963306695406956,-19.97304747518965,-19.94199755107492,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,affected,spectral_efficiency_mean_bpshz,-2.3511332224933685,-2.3637021647037995,-2.3374357436811417,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,affected,spectral_efficiency_p5_bpshz,-1.4871646741372433,-1.4941597549361183,-1.4776173662342629,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,all,outage_probability,0.03359753460600576,0.033181249315755834,0.0340191141099589,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,all,sinr_mean_db,-0.960046730469859,-0.9661943271518408,-0.9516144006843492,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,all,sinr_p5_db,-8.608198361330478,-8.889028388243904,-8.333812569541497,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,all,spectral_efficiency_mean_bpshz,-0.1089942749034436,-0.11024258688968402,-0.10736439393444551,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,all,spectral_efficiency_p5_bpshz,-1.1310618180445124,-1.1494977976663565,-1.1124259534484238,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,unaffected,outage_probability,-2.295464544637221e-05,-5.359406604066077e-05,-3.8158716065927315e-06,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,unaffected,sinr_mean_db,0.041833697745786935,0.03584586358942645,0.05004167068599953,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,unaffected,sinr_p5_db,0.043958188732503345,0.037195413959931735,0.05136714586619761,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,unaffected,spectral_efficiency_mean_bpshz,0.009243738959553216,0.008065990182909367,0.01082011013470493,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,unaffected,spectral_efficiency_p5_bpshz,0.00847566110870801,0.0071788806813629594,0.009899594912273251,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F10,0.2,5.0,0.1,affected,outage_probability,0.00108837614279495,0.0006547067521908374,0.0015981244263718905,2000,838,paired_delta_pbo_minus_baseline
