check,status,scenario_id,message
selected_scenario_count,PASS,campaign,Cenários selecionados=26; esperado=26.
baseline_count,PASS,campaign,"Baselines por load factor=[0.2, 0.5]."
positive_scenarios_per_load_factor,PASS,campaign,"Contagens={0.2: 12, 0.5: 12}; esperado=12 por load factor."
configured_parameter_levels,PASS,campaign,"LF=[0.2, 0.5]; PBO=[0.0, 5.0, 10.0, 15.0, 20.0]; frações=[0.05, 0.1, 0.15]."
superseded_output_candidates,WARNING,campaign,Diretórios candidatos não selecionados por estarem menos completos: 23.
structured_csv_exists,PASS,LF20_PBO00_F00,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO0dB_F00pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv
structured_csv_readable,PASS,LF20_PBO00_F00,Registros lidos: 275169.
required_columns,PASS,LF20_PBO00_F00,As 12 colunas obrigatórias estão presentes.
finite_values,PASS,LF20_PBO00_F00,NaN=0; todos finitos=True.
unique_snapshot_ue_beam,PASS,LF20_PBO00_F00,Registros em chaves duplicadas: 0.
snapshot_count,PASS,LF20_PBO00_F00,Snapshots observados=1000; configurados=1000.
selected_beams_active,PASS,LF20_PBO00_F00,Registros selecionados com beam_active=False: 0.
tx_power_consistency,PASS,LF20_PBO00_F00,Erro máximo PBO=0 dB; erro máximo de potência=0 dB.
unaffected_nominal_power,PASS,LF20_PBO00_F00,Erro máximo em feixes não afetados=0 dB.
realized_fraction,PASS,LF20_PBO00_F00,Erro salvo/observado=0; erro de arredondamento=0; máximo de valores distintos por snapshot=1.
snapshots_without_affected_beams,PASS,LF20_PBO00_F00,Snapshots sem feixe afetado: 1000.
spectral_efficiency_proxy_formula,PASS,LF20_PBO00_F00,Erro absoluto máximo contra a equação do SHARC=1.78e-15.
structured_csv_exists,PASS,LF20_PBO05_F05,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO5dB_F05pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv
structured_csv_readable,PASS,LF20_PBO05_F05,Registros lidos: 275169.
required_columns,PASS,LF20_PBO05_F05,As 12 colunas obrigatórias estão presentes.
finite_values,PASS,LF20_PBO05_F05,NaN=0; todos finitos=True.
unique_snapshot_ue_beam,PASS,LF20_PBO05_F05,Registros em chaves duplicadas: 0.
snapshot_count,PASS,LF20_PBO05_F05,Snapshots observados=1000; configurados=1000.
selected_beams_active,PASS,LF20_PBO05_F05,Registros selecionados com beam_active=False: 0.
tx_power_consistency,PASS,LF20_PBO05_F05,Erro máximo PBO=0 dB; erro máximo de potência=0 dB.
unaffected_nominal_power,PASS,LF20_PBO05_F05,Erro máximo em feixes não afetados=0 dB.
realized_fraction,PASS,LF20_PBO05_F05,Erro salvo/observado=9.71e-17; erro de arredondamento=0; máximo de valores distintos por snapshot=1.
snapshots_without_affected_beams,PASS,LF20_PBO05_F05,Snapshots sem feixe afetado: 0.
spectral_efficiency_proxy_formula,PASS,LF20_PBO05_F05,Erro absoluto máximo contra a equação do SHARC=1.78e-15.
structured_csv_exists,PASS,LF20_PBO05_F10,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO5dB_F10pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv
structured_csv_readable,PASS,LF20_PBO05_F10,Registros lidos: 275169.
