scenario_id,load_factor,pbo_db,affected_fraction,paired_user_records,snr_affected_mean_delta_db,snr_affected_median_delta_db,snr_unaffected_mean_delta_db,snr_unaffected_median_delta_db,snr_unaffected_max_abs_delta_db,inr_unaffected_valid_pairs,inr_unaffected_mean_delta_db,inr_unaffected_median_delta_db,inr_baseline_omitted_records,inr_pbo_omitted_records,path_loss_mean_delta_db,path_loss_max_abs_delta_db,snr_unaffected_practically_constant,path_loss_overlaid,inr_unaffected_decreased,snr_reduction_dominates_inr_benefit
LF20_PBO05_F05,0.2,5.0,0.05,275169,-5.0,-5.0,0.0,0.0,0.0,261385,-0.1484651369881997,-0.10332576564538165,0,0,0.0,0.0,True,True,True,True
LF20_PBO10_F05,0.2,10.0,0.05,275169,-10.0,-10.0,0.0,0.0,0.0,261385,-0.19966195345683677,-0.13651855467515972,0,0,0.0,0.0,True,True,True,True
LF20_PBO15_F05,0.2,15.0,0.05,275169,-15.0,-15.0,0.0,0.0,0.0,261385,-0.21705093840174292,-0.14706805306652182,0,0,0.0,0.0,True,True,True,True
LF20_PBO20_F05,0.2,20.0,0.05,275169,-20.0,-20.0,0.0,0.0,0.0,261385,-0.22299309415554566,-0.15040943754181235,0,0,0.0,0.0,True,True,True,True
LF20_PBO05_F10,0.2,5.0,0.1,275169,-5.0,-5.0,0.0,0.0,0.0,247605,-0.3128168294934886,-0.24202269259890485,0,0,0.0,0.0,True,True,True,True
LF20_PBO10_F10,0.2,10.0,0.1,275169,-10.0,-10.0,0.0,0.0,0.0,247605,-0.42389245773916084,-0.32145164114102354,0,0,0.0,0.0,True,True,True,True
LF20_PBO15_F10,0.2,15.0,0.1,275169,-15.0,-15.0,0.0,0.0,0.0,247605,-0.46171238981283835,-0.34687464385663525,0,0,0.0,0.0,True,True,True,True
LF20_PBO20_F10,0.2,20.0,0.1,275169,-20.0,-20.0,0.0,0.0,0.0,247605,-0.4744542292105885,-0.3549451742635297,0,0,0.0,0.0,True,True,True,True
LF20_PBO05_F15,0.2,5.0,0.15,275169,-5.0,-5.0,0.0,0.0,0.0,233871,-0.4782371371526935,-0.39253037921359724,0,0,0.0,0.0,True,True,True,True
LF20_PBO10_F15,0.2,10.0,0.15,275169,-10.0,-10.0,0.0,0.0,0.0,233871,-0.6532285656454072,-0.5244245579175049,0,0,0.0,0.0,True,True,True,True
LF20_PBO15_F15,0.2,15.0,0.15,275169,-15.0,-15.0,0.0,0.0,0.0,233871,-0.7136177989869593,-0.5669807833132525,0,0,0.0,0.0,True,True,True,True
LF20_PBO20_F15,0.2,20.0,0.15,275169,-20.0,-20.0,0.0,0.0,0.0,233871,-0.73410981696493,-0.5805254932424537,0,0,0.0,0.0,True,True,True,True
LF50_PBO05_F05,0.5,5.0,0.05,689089,-5.0,-5.0,0.0,0.0,0.0,654612,-0.1575126826390761,-0.11535674126377327,0,0,0.0,0.0,True,True,True,True
LF50_PBO10_F05,0.5,10.0,0.05,689089,-10.0,-10.0,0.0,0.0,0.0,654612,-0.21165754251208063,-0.15248277563724422,0,0,0.0,0.0,True,True,True,True
LF50_PBO15_F05,0.5,15.0,0.05,689089,-15.0,-15.0,0.0,0.0,0.0,654612,-0.22995650151641253,-0.16428941736799474,0,0,0.0,0.0,True,True,True,True
LF50_PBO20_F05,0.5,20.0,0.05,689089,-20.0,-20.0,0.0,0.0,0.0,654612,-0.23607588045281272,-0.16802969509583288,0,0,0.0,0.0,True,True,True,True
LF50_PBO05_F10,0.5,5.0,0.1,689089,-5.0,-5.0,0.0,0.0,0.0,620140,-0.3241634806273632,-0.2597454481978869,0,0,0.0,0.0,True,True,True,True
LF50_PBO10_F10,0.5,10.0,0.1,689089,-10.0,-10.0,0.0,0.0,0.0,620140,-0.43921217546939445,-0.34522592956359177,0,0,0.0,0.0,True,True,True,True
LF50_PBO15_F10,0.5,15.0,0.1,689089,-15.0,-15.0,0.0,0.0,0.0,620140,-0.47876992440438026,-0.3726111685914182,0,0,0.0,0.0,True,True,True,True
LF50_PBO20_F10,0.5,20.0,0.1,689089,-20.0,-20.0,0.0,0.0,0.0,620140,-0.4921259348531683,-0.3813072029415092,0,0,0.0,0.0,True,True,True,True
LF50_PBO05_F15,0.5,5.0,0.15,689089,-5.0,-5.0,0.0,0.0,0.0,585705,-0.48669051042487266,-0.41228005802993284,0,0,0.0,0.0,True,True,True,True
LF50_PBO10_F15,0.5,10.0,0.15,689089,-10.0,-10.0,0.0,0.0,0.0,585705,-0.6636876113464596,-0.551243004953208,0,0,0.0,0.0,True,True,True,True
LF50_PBO15_F15,0.5,15.0,0.15,689089,-15.0,-15.0,0.0,0.0,0.0,585705,-0.7252388862493583,-0.5961287090132208,0,0,0.0,0.0,True,True,True,True
LF50_PBO20_F15,0.5,20.0,0.15,689089,-20.0,-20.0,0.0,0.0,0.0,585705,-0.7462082804154959,-0.6104199066037737,0,0,0.0,0.0,True,True,True,True
