load_factor,pbo_db,requested_fraction,realized_fraction_mean,snapshots,total_user_records,affected_user_records,unaffected_user_records
0.2,0.0,0.0,0.0,1000,275169,0,275169
0.2,5.0,0.05,0.05009683792861342,1000,275169,13784,261385
0.2,5.0,0.1,0.10017047442638648,1000,275169,27564,247605
0.2,5.0,0.15,0.15008138864655135,1000,275169,41298,233871
0.2,10.0,0.05,0.05009683792861342,1000,275169,13784,261385
0.2,10.0,0.1,0.10017047442638648,1000,275169,27564,247605
0.2,10.0,0.15,0.15008138864655135,1000,275169,41298,233871
0.2,15.0,0.05,0.05009683792861342,1000,275169,13784,261385
0.2,15.0,0.1,0.10017047442638648,1000,275169,27564,247605
0.2,15.0,0.15,0.15008138864655135,1000,275169,41298,233871
0.2,20.0,0.05,0.05009683792861342,1000,275169,13784,261385
0.2,20.0,0.1,0.10017047442638648,1000,275169,27564,247605
0.2,20.0,0.15,0.15008138864655135,1000,275169,41298,233871
0.5,0.0,0.0,0.0,1000,689089,0,689089
0.5,5.0,0.05,0.05003291908190031,1000,689089,34477,654612
0.5,5.0,0.1,0.10005817937746353,1000,689089,68949,620140
0.5,5.0,0.15,0.15003077545956195,1000,689089,103384,585705
0.5,10.0,0.05,0.05003291908190031,1000,689089,34477,654612
0.5,10.0,0.1,0.10005817937746353,1000,689089,68949,620140
0.5,10.0,0.15,0.15003077545956195,1000,689089,103384,585705
0.5,15.0,0.05,0.05003291908190031,1000,689089,34477,654612
0.5,15.0,0.1,0.10005817937746353,1000,689089,68949,620140
0.5,15.0,0.15,0.15003077545956195,1000,689089,103384,585705
0.5,20.0,0.05,0.05003291908190031,1000,689089,34477,654612
0.5,20.0,0.1,0.10005817937746353,1000,689089,68949,620140
0.5,20.0,0.15,0.15003077545956195,1000,689089,103384,585705
